Symbol,Name
786,786 Investments Limited
AABS,Al-Abbas Sugar Mills Limited
AATM,Ali Asghar Textile Mills Limited
ABL,Allied Bank Limited
ABOT,Abbott Laboratories (Pakistan) Limited
ACIETF,Alfalah Consumer Index (ETF)
ACPL,Attock Cement Pakistan Limited
ADAMS,Adam Sugar Mills Limited
ADMM,Artistic Denim Mills Limited
AGHA,Agha Steel Ind.Ltd
AGHA-OCT,-
AGIC,Askari General Insurance Company Limited
AGIL,Agriauto Industries Limited
AGL,Agritech Limited
AGL-OCT,-
AGP,AGP Limited
AGP-OCTB,-
AGSML,Abdullah Shah Ghazi Sugar Mills Limited
AGTL,Al-Ghazi Tractors Limited
AHCL,Arif Habib Corporation Limited
AHL,Arif Habib Limited
AHTM,Ahmad Hassan Textile Mills Limited
AICL,Adamjee Insurance Company Limited
AICL-OCTB,-
AIRLINK,Air Link Communication Limited
AIRLINK-OCTB,-
AKBL,Askari Bank Limited
AKBL-OCTB,-
AKDHL,AKD Hospitality Limited
AKDSL,AKD Securities Limited
AKGL,Al-Khair Gadoon Limited
ALAC,Askari Life Assurance Company Limited
ALIFE,Adamjee Life Assurance Company Limited
ALNRS,Al-Noor Sugar Mills Limited
ALTN,Altern Energy Limited
AMBL,Apna Microfinance Bank Limited
AMTEX,Amtex Limited
ANL,Azgard Nine Limited
ANSM,Ansari Sugar Mills Limited
ANTM,AN Textile Mills Limited
APL,Attock Petroleum Limited
ARCTM,Arctic Textile Mills Limited
ARPAK,Arpak International Investments Ltd.
ARPL,Archroma Pakistan Limited
ARUJ,Aruj Industries Limited
ASC,Al Shaheer Corporation Limited
ASHT,Ashfaq Textile Mills Limited
ASIC,Asia Insurance Company Limited
ASL,Aisha Steel Mills Limited
ASL-OCT,-
ASLCPS,Aisha Steel Convt (Pref) Right
ASLPS,Aisha Steel Convertible (Pref)
ASTL,Amreli Steels Limited
ASTM,Asim Textile Mills Limited
ATBA,Atlas Battery Limited
ATIL,Atlas Insurance Limited
ATLH,Atlas Honda Limited
ATRL,Attock Refinery Limited
ATRL-OCTB,-
AVN,Avanceon Limited
AVN-OCT,-
BAFL,Bank Alfalah Limited
BAFL-NOV,-
BAFL-OCTB,-
BAFS,Baba Farid Sugar Mills Limited
BAHL,Bank AL Habib Limited
BAHL-OCTB,-
BAPL,Bawany Air Products Limited
BATA,Bata Pakistan Limited
BBFL,Big Bird Foods Limited
BCL,Bolan Castings Limited
BECO,Beco Steel Limited
BELA,Bela Automotives Limited
BERG,Berger Paints Pakistan Limited
BFAGRO,Barkat Frisian Agro Limited
BFBIO,BF Biosciences Limited
BFMOD,B.F. Modaraba
BGL,Baluchistan Glass Limited
BHAT,Bhanero Textile Mills Limited
BIFO,Biafo Industries Limited
BILF,Bilal Fibres Limited
BIPL,BankIslami Pakistan Limited
BIPL-OCTB,-
BML,Bank Makramah Limited
BML-OCT,-
BNL,Bunnys Limited
BNWM,Bannu Woollen Mills Limited
BOK,The Bank of Khyber
BOP,The Bank of Punjab
BOP-NOV,-
BOP-OCTB,-
BPL,Burshane LPG (Pakistan) Limited
BRRG,B.R.R Guardian Limited
BTL,Blessed Textiles Limited
BUXL,Buxly Paints Limited
BWCL,Bestway Cement Limited
BWHL,Baluchistan Wheels Limited
CASH,Calcorp Limited
CCM,Crescent Cotton Mills Limited
CENI,Century Insurance Company Limited
CEPB,Century Paper & Board Mills Limited
CFL,Crescent Fibres Limited
CHAS,Chashma Sugar Mills Limited
CHBL,Chenab Limited
CHCC,Cherat Cement Company Limited
CHCC-OCTB,-
CJPL,Crescent Jute Products Limited
CLCPS,Chenab Limited (Pref)
CLOV,Clover Pakistan Limited
CLVL,Cordoba Logistics & Ventures Limited
CNERGY,Cnergyico PK  Limited
CNERGY-OCT,-
COLG,Colgate-Palmolive (Pakistan) Limited
CPHL,Citi Pharma Ltd.
CPHL-OCTB,-
CPPL,Cherat Packaging Limited
CRTM,The Crescent Textile Mills Limited
CSAP,Crescent Steel & Allied Products Limited
CSAP-OCT,-
CSAP-OCTB,-
CSIL,Crescent Star Insurance Limited
CTM,Colony Textile Mills Limited
CWSM,Chakwal Spinning Mills Limited
CYAN,Cyan Limited
DAAG,Data Agro Limited
DADX,Dadex Eternit Limited
DBCI,Dadabhoy Cement Industries Limited
DCL,Dewan Cement Limited
DCL-OCT,-
DCR,Dolmen City REIT
DCR-OCT,-
DEL,Dawood Equities Limited
DFML,Dewan Farooque Motors Limited
DFML-OCT,-
DFSM,Dewan Farooque Spinning Mills Limited
DGKC,D.G. Khan Cement Company Limited
DGKC-OCTB,-
DHPL,DH Partners Limited
DIIL,Diamond Industries Limited
DINT,Din Textile Mills Limited
DLL,Dawood Lawrencepur Limited
DMC,D.M. Corporation Limited.
DMTM,Dewan Mushtaq Textile Mills Limited
DNCC,Dandot Cement Company Limited
DOL,Descon Oxychem Limited
DSIL,D.S. Industries Limited
DSL,Dost Steels Limited
DWAE,Dewan Automotive Engineering Limited
DWSM,Dewan Sugar Mills Limited
DWTM,Dewan Textile Mills Limited
DYNO,Dynea Pakistan Limited
ECOP,Ecopack Limited
EFERT,Engro Fertilizers Limited
EFERT-OCTB,-
EFUG,EFU General Insurance Limited
EFUL,EFU Life Assurance Limited
ELCM,Elahi Cotton Mills Limited
EMCO,Emco Industries Limited
ENGROH,Engro Holdings Limited
ENGROH-OCT,-
EPCL,Engro Polymer & Chemicals Limited
EPCL-NOV,-
EPCL-OCT,-
EPCLPS,Engro Poly(Pref)
EPQL,Engro Powergen Qadirpur Limited
ESBL,Escorts Investment Bank Limited
EXIDE,Exide Pakistan Limited
FABL,Faysal Bank Limited
FABL-OCTB,-
FANM,First Al-Noor Modaraba
FASM,Faisal Spinning Mills Limited
FATIMA,Fatima Fertilizer Company Limited
FCCL,Fauji Cement Company Limited
FCCL-OCTB,-
FCEL,First Capital Equities Limited
FCEPL,Frieslandcampina Engro Pakistan Limited
FCEPL-OCT,-
FCIBL,First Credit and Investment Bank Limited
FCL,Fast Cables Limited
FCL-OCTB,-
FCSC,First Capital Securities Corporation
FDPL,First Dawood Properties Limited
FECM,First Elite Capital Modaraba
FECTC,Fecto Cement Limited
FEM,First Equity Modaraba
FEROZ,Ferozsons Laboratories Limited
FFC,Fauji Fertilizer Company Limited
FFC-OCTB,-
FFL,Fauji Foods Limited
FFL-OCT,-
FFLM,First Fidelity Leasing Modaraba
FHAM,First Habib Modaraba
FIBLM,First IBL Modaraba
FIL,Fateh Industries Limited
FIMM,First Imrooz Modaraba
FLYNG,Flying Cement Company Limited
FLYNG-OCT,-
FML,Feroze1888 Mills Limited
FNEL,First National Equities Limited
FPJM,First Punjab Modaraba
FPRM,First Paramount Modaraba
FRCL,Frontier Ceramics Limited
FRSM,Faran Sugar Mills Limited
FSWL,Fateh Sports Wear Limited
FTMM,First Treet Manufacturing Modaraba
FTSM,First Tri-Star Modaraba
FZCM,Fazal Cloth Mills Limited
GADT,Gadoon Textile Mills Limited
GAL,Ghandhara Automobiles Limited
GAL-OCTB,-
GAMON,Gammon Pakistan Limited
GATI,Gatron (Industries) Limited
GATM,Gul Ahmed Textile Mills Limited
GATM-OCT,-
GCIL,Ghani Chemical Industries Limited
GCIL-NOV,-
GCIL-OCT,-
GCWL,Ghani Chemworld Limited
GEMBLUEX,Blue-Ex Limited (GEM)
GEMPACRA,The Pakistan Credit Rating Agency Ltd
GEMSPNL,Supernet Limited
GFIL,Ghazi Fabrics International Limited
GGGL,Ghani Global Glass Limited
GGL,Ghani Global Holdings Limited
GGL-OCT,-
GHGL,Ghani Glass Limited
GHGL-OCT,-
GHNI,Ghandhara Industries Limited
GHNI-NOVB,-
GHNI-OCTB,-
GLAXO,GlaxoSmithKline Pakistan Limited
GLAXO-OCTB,-
GLPL,Gillette Pakistan Limited
GOC,GOC (Pak) Limited.
GRR,Globe Residency REIT
GRYL,Grays Leasing Limited
GSPM,Gulshan Spinning Mills Limited
GTYR,Ghandhara Tyre & Rubber Company Limited
GUSM,Gulistan Spinning Mills Limited
GVGL,Ghani Value Glass Limited
GWLC,Gharibwal Cement Limited
HABSM,Habib Sugar Mills Limited
HAEL,Hala Enterprises Limited
HALEON,Haleon Pakistan Limited
HASCOL,Hascol Petroleum Limited
HBL,Habib Bank Limited
HBL-OCTB,-
HCAR,Honda Atlas Cars (Pakistan) Limited
HGFA,HBL Growth Fund
HICL,Habib Insurance Company Limited
HIFA,HBL Investment Fund
HINO,Hinopak Motors Limited
HINOON,Highnoon Laboratories Limited
HIRAT,Hira Textile Mills Limited
HMB,Habib Metropolitan Bank Limited
HPL,Hoechst Pakistan Limited
HRPL,Habib Rice Product Limited.
HTL,Hi-Tech Lubricants Limited
HUBC,The Hub Power Company Limited
HUBC-OCTB,-
HUMNL,Hum Network Limited
HUMNL-OCT,-
HUSI,Husein Industries Limited
